ID,Categoría,Step,Tarea,Descripción,Duración (días),Inicio,Fin,Dependencias,Prioridad,Responsable,Estado,Entregables,Presupuesto USD,Notas
1.1,Blockchain,Setup Ambiente,Instalar Rust y Solana CLI,Configurar ambiente de desarrollo para Solana,1,Día 1,Día 1,Ninguna,Crítica,Blockchain Dev,Pendiente,"Rust instalado, Solana CLI instalado, Anchor instalado",500,Prerequisito para todo desarrollo blockchain
1.2,Blockchain,Setup Ambiente,Configurar Anchor workspace,Crear estructura de proyecto Anchor,1,Día 1,Día 1,1.1,Crítica,Blockchain Dev,Pendiente,"Anchor.toml configurado, Workspace creado",500,
1.3,Blockchain,Setup Ambiente,Setup wallets y devnet,Crear wallets de desarrollo y obtener SOL,1,Día 1,Día 1,1.1,Crítica,Blockchain Dev,Pendiente,"Wallets creados, SOL de devnet obtenido",200,
2.1,Blockchain,Programa Escrow,Crear estructura base,Definir cuentas y estructuras de datos,2,Día 2,Día 3,1.3,Crítica,Blockchain Dev,Pendiente,"EscrowAccount definido, Estados definidos",2000,
2.2,Blockchain,Programa Escrow,Implementar initialize_escrow,Crear instrucción para inicializar escrow,2,Día 2,Día 3,2.1,Crítica,Blockchain Dev,Pendiente,Instrucción initialize_escrow funcionando,2000,
2.3,Blockchain,Programa Escrow,Implementar deposit_to_escrow,Crear instrucción para depositar fondos,2,Día 4,Día 5,2.2,Crítica,Blockchain Dev,Pendiente,Instrucción deposit_to_escrow funcionando,2000,
2.4,Blockchain,Programa Escrow,Implementar confirm_escrow,Crear instrucción para confirmar y liberar fondos,2,Día 4,Día 5,2.2,Crítica,Blockchain Dev,Pendiente,Instrucción confirm_escrow funcionando,2000,
2.5,Blockchain,Programa Escrow,Implementar cancel_escrow,Crear instrucción para cancelar dentro de 120h,2,Día 6,Día 7,2.4,Crítica,Blockchain Dev,Pendiente,Instrucción cancel_escrow con validación 120h,2000,
2.6,Blockchain,Programa Escrow,Testing unitario,Escribir tests para todas las instrucciones,2,Día 8,Día 9,2.5,Crítica,Blockchain Dev,Pendiente,"Tests pasando, 100% coverage",1500,
2.7,Blockchain,Programa Escrow,Deploy a devnet,Desplegar programa a devnet y verificar,1,Día 10,Día 10,2.6,Crítica,Blockchain Dev,Pendiente,"Programa deployed, Program ID documentado",500,
3.1,Blockchain,Programa NFT Mint,Setup Metaplex,Configurar dependencias Metaplex Token Metadata,1,Día 11,Día 11,2.7,Crítica,Blockchain Dev,Pendiente,Metaplex integrado,1000,
3.2,Blockchain,Programa NFT Mint,Definir WeekNFTData,Crear estructura de datos para NFTs,1,Día 11,Día 11,3.1,Crítica,Blockchain Dev,Pendiente,WeekNFTData definido,1000,
3.3,Blockchain,Programa NFT Mint,Implementar mint_week_nft,Crear instrucción para mintear NFT con validación NOM-151,3,Día 12,Día 14,3.2,Crítica,Blockchain Dev,Pendiente,Instrucción mint_week_nft funcionando,3000,
3.4,Blockchain,Programa NFT Mint,Implementar freeze_week_nft,Crear instrucción para congelar NFT (colateral VA-FI),2,Día 15,Día 16,3.3,Crítica,Blockchain Dev,Pendiente,Instrucción freeze_week_nft funcionando,2000,
3.5,Blockchain,Programa NFT Mint,Implementar unfreeze_week_nft,Crear instrucción para descongelar NFT,2,Día 15,Día 16,3.4,Crítica,Blockchain Dev,Pendiente,Instrucción unfreeze_week_nft funcionando,2000,
3.6,Blockchain,Programa NFT Mint,Configurar metadata storage,Setup Arweave o IPFS para metadata,2,Día 17,Día 18,3.3,Crítica,Blockchain Dev,Pendiente,"Arweave configurado, Upload funcionando",1500,
3.7,Blockchain,Programa NFT Mint,Testing unitario NFT,Escribir tests para todas las instrucciones NFT,2,Día 19,Día 20,3.6,Crítica,Blockchain Dev,Pendiente,"Tests pasando, 100% coverage",1500,
3.8,Blockchain,Programa NFT Mint,Deploy a devnet,Desplegar programa NFT a devnet,1,Día 21,Día 21,3.7,Crítica,Blockchain Dev,Pendiente,"Programa deployed, Program ID documentado",500,
4.1,Blockchain,Integración APIs,Actualizar API escrow/deposit,Reemplazar mock con transacción real,2,Día 22,Día 23,2.7,Crítica,Backend Dev,Pendiente,API usando transacciones reales,2000,
4.2,Blockchain,Integración APIs,Actualizar API escrow/confirm,Reemplazar mock con transacción real,2,Día 22,Día 23,2.7,Crítica,Backend Dev,Pendiente,API usando transacciones reales,2000,
4.3,Blockchain,Integración APIs,Actualizar API nft/mint,Reemplazar mock con mint real,2,Día 24,Día 25,3.8,Crítica,Backend Dev,Pendiente,API usando mint real con metadata,2000,
4.4,Blockchain,Integración APIs,Agregar retry logic,Implementar reintentos para transacciones fallidas,1,Día 26,Día 26,4.3,Alta,Backend Dev,Pendiente,Retry logic funcionando,1000,
4.5,Blockchain,Integración APIs,Testing integración E2E,Test completo deposit → confirm → mint,1,Día 26,Día 26,4.4,Crítica,Backend Dev,Pendiente,Tests E2E pasando,1000,
5.1,Blockchain,Deploy Producción,Deploy a testnet,Desplegar ambos programas a testnet,1,Día 27,Día 27,4.5,Crítica,DevOps,Pendiente,"Programas en testnet, Testing completado",500,
5.2,Blockchain,Deploy Producción,Preparar mainnet,Crear wallets multisig y configurar upgrade authority,1,Día 28,Día 28,5.1,Crítica,DevOps,Pendiente,"Wallets creados, SOL preparado",1000,
5.3,Blockchain,Deploy Producción,Deploy a mainnet,Desplegar a mainnet-beta,1,Día 29,Día 29,5.2,Crítica,DevOps,Pendiente,"Programas en mainnet, Monitoreo activo",2000,
5.4,Blockchain,Deploy Producción,Actualizar environment vars,Configurar Program IDs en producción,1,Día 30,Día 30,5.3,Crítica,DevOps,Pendiente,Environment variables actualizadas,500,
6.1,Testing,Setup Testing,Instalar Jest y RTL,Configurar Jest y React Testing Library,1,Día 31,Día 31,Ninguna,Crítica,QA Engineer,Pendiente,"Jest configurado, jest.config.js creado",500,
6.2,Testing,Setup Testing,Instalar Playwright,Configurar Playwright para E2E,1,Día 31,Día 31,Ninguna,Crítica,QA Engineer,Pendiente,"Playwright configurado, playwright.config.ts creado",500,
6.3,Testing,Setup Testing,Setup test database,Crear proyecto Supabase de testing,1,Día 32,Día 32,6.1,Crítica,QA Engineer,Pendiente,Test database configurada,300,
6.4,Testing,Setup Testing,Crear helpers y mocks,Crear utilidades de testing,1,Día 32,Día 32,6.1,Crítica,QA Engineer,Pendiente,Helpers y mocks creados,500,
7.1,Testing,Tests Unitarios,Tests de componentes UI,PropertyCard WeekSelector PaymentMethodSelector etc,3,Día 33,Día 35,6.4,Crítica,QA Engineer,Pendiente,20+ tests de componentes,2000,
7.2,Testing,Tests Unitarios,Tests de hooks,use-wallet use-terms-acceptance use-require-auth,1,Día 36,Día 36,6.4,Crítica,QA Engineer,Pendiente,10+ tests de hooks,1000,
7.3,Testing,Tests Unitarios,Tests de utils,format-currency validate-booking etc,1,Día 37,Día 37,6.4,Crítica,QA Engineer,Pendiente,10+ tests de utils,1000,
7.4,Testing,Tests Unitarios,Tests de forms,LoginForm RegisterForm PropertyForm,1,Día 38,Día 38,6.4,Crítica,QA Engineer,Pendiente,10+ tests de forms,1000,
8.1,Testing,Tests Integración,Tests APIs autenticación,/api/auth/login register logout,1,Día 39,Día 39,6.4,Crítica,QA Engineer,Pendiente,5+ tests de auth APIs,1000,
8.2,Testing,Tests Integración,Tests APIs reservaciones,/api/reservations/create escrow nft,2,Día 40,Día 41,8.1,Crítica,QA Engineer,Pendiente,10+ tests de reservaciones,1500,
8.3,Testing,Tests Integración,Tests APIs pagos,/api/payments webhooks,1,Día 42,Día 42,8.1,Crítica,QA Engineer,Pendiente,5+ tests de pagos,1000,
9.1,Testing,Tests E2E,E2E registro y login,Flujo completo de autenticación,1,Día 43,Día 43,6.2,Crítica,QA Engineer,Pendiente,3+ tests E2E auth,1000,
9.2,Testing,Tests E2E,E2E compra completa,Flujo browse → select → payment → NFT,2,Día 44,Día 45,9.1,Crítica,QA Engineer,Pendiente,5+ tests E2E compra,2000,
9.3,Testing,Tests E2E,E2E flujos admin,create-property approve-kyc manage-escrow,1,Día 46,Día 46,9.1,Alta,QA Engineer,Pendiente,3+ tests E2E admin,1000,
9.4,Testing,Tests E2E,E2E flujos broker,generate-referral view-commissions,1,Día 47,Día 47,9.1,Alta,QA Engineer,Pendiente,2+ tests E2E broker,1000,
10.1,Testing,CI/CD Testing,Configurar GitHub Actions,Crear workflow de tests,1,Día 48,Día 48,9.4,Crítica,DevOps,Pendiente,CI/CD pipeline funcionando,500,
10.2,Testing,CI/CD Testing,Integrar coverage reports,Configurar Codecov,1,Día 49,Día 49,10.1,Alta,DevOps,Pendiente,Coverage reports automáticos,300,
10.3,Testing,CI/CD Testing,Configurar notificaciones,Slack/email para tests fallidos,1,Día 49,Día 49,10.1,Media,DevOps,Pendiente,Notificaciones configuradas,200,
11.1,DevOps,Monitoring,Configurar Sentry,Error tracking y replay sessions,1,Día 50,Día 50,Ninguna,Crítica,DevOps,Pendiente,Sentry funcionando,500,
11.2,DevOps,Monitoring,Configurar uptime monitoring,UptimeRobot o Pingdom,1,Día 51,Día 51,Ninguna,Crítica,DevOps,Pendiente,Uptime monitoring activo,300,
11.3,DevOps,Monitoring,Configurar APM,New Relic o Datadog,1,Día 52,Día 52,Ninguna,Alta,DevOps,Pendiente,APM funcionando,700,
11.4,DevOps,Monitoring,Configurar alertas,Email Slack PagerDuty,1,Día 52,Día 52,11.3,Alta,DevOps,Pendiente,Alertas configuradas,300,
12.1,DevOps,Logging,Configurar Winston,Logger centralizado,1,Día 53,Día 53,Ninguna,Alta,DevOps,Pendiente,Winston configurado,500,
12.2,DevOps,Logging,Integrar con APIs,Agregar logging a todas las APIs,1,Día 54,Día 54,12.1,Alta,DevOps,Pendiente,Logging en todas las APIs,500,
12.3,DevOps,Logging,Setup log aggregation,Logtail o Papertrail,1,Día 54,Día 54,12.1,Media,DevOps,Pendiente,Log aggregation activo,300,
13.1,DevOps,Backup & DR,Configurar backups database,Backups automáticos a S3,1,Día 55,Día 55,Ninguna,Crítica,DevOps,Pendiente,Backups automáticos funcionando,500,
13.2,DevOps,Backup & DR,Configurar backups media,Backup de Vercel Blob y archivos,1,Día 56,Día 56,Ninguna,Alta,DevOps,Pendiente,Media backups funcionando,500,
13.3,DevOps,Backup & DR,Crear DR plan,Documentar procedimientos de recuperación,1,Día 57,Día 57,13.2,Crítica,DevOps,Pendiente,DR plan documentado,1000,
13.4,DevOps,Backup & DR,Testear DR plan,Ejecutar simulacro de disaster recovery,1,Día 57,Día 57,13.3,Alta,DevOps,Pendiente,DR plan testeado,500,
14.1,DevOps,Performance,Optimizar frontend,Code splitting lazy loading CDN,1,Día 58,Día 58,Ninguna,Alta,Frontend Dev,Pendiente,Lighthouse score > 90,1000,
14.2,DevOps,Performance,Optimizar APIs,Caching Redis rate limiting,1,Día 59,Día 59,Ninguna,Alta,Backend Dev,Pendiente,API response < 200ms,1000,
14.3,DevOps,Performance,Optimizar database,Índices slow queries connection pooling,1,Día 60,Día 60,Ninguna,Alta,Backend Dev,Pendiente,Queries optimizadas,1000,
15.1,DevOps,Security,Configurar WAF,Cloudflare WAF y DDoS protection,1,Día 61,Día 61,Ninguna,Crítica,Security,Pendiente,WAF configurado,500,
15.2,DevOps,Security,Security headers,CSP HSTS X-Frame-Options,1,Día 62,Día 62,Ninguna,Crítica,Security,Pendiente,Security headers implementados,300,
15.3,DevOps,Security,Penetration testing,Contratar pentester o usar herramientas,1,Día 63,Día 63,15.2,Crítica,Security,Pendiente,Pentest completado,2000,
16.1,Security,Hardening,Rate limiting por usuario,Implementar rate limiting avanzado,1,Día 64,Día 64,Ninguna,Alta,Backend Dev,Pendiente,Rate limiting por usuario funcionando,1000,
16.2,Security,Hardening,Input sanitization,Validación y sanitización de inputs,1,Día 65,Día 65,Ninguna,Alta,Backend Dev,Pendiente,Input sanitization implementado,1000,
16.3,Security,Hardening,Audit logging completo,Logging de operaciones sensibles,1,Día 66,Día 66,12.2,Alta,Backend Dev,Pendiente,Audit logging completo,1000,
16.4,Security,Hardening,Implementar 2FA,Two-Factor Authentication para admins,2,Día 67,Día 68,Ninguna,Alta,Backend Dev,Pendiente,2FA funcionando,2000,
17.1,Documentation,Developer Docs,Developer Guide,Arquitectura setup APIs smart contracts,2,Día 69,Día 70,Ninguna,Alta,Tech Writer,Pendiente,Developer Guide completo,1500,
17.2,Documentation,Developer Docs,API Reference,Documentación completa de todas las APIs,2,Día 71,Día 72,Ninguna,Alta,Tech Writer,Pendiente,API Reference completo,1500,
17.3,Documentation,Developer Docs,Smart Contracts Docs,Documentación de programas Solana,1,Día 73,Día 73,5.4,Alta,Tech Writer,Pendiente,Smart Contracts docs completo,1000,
18.1,Documentation,User Docs,User Guide,Guía completa para usuarios finales,2,Día 74,Día 75,Ninguna,Media,Tech Writer,Pendiente,User Guide completo,1500,
18.2,Documentation,User Docs,FAQ extendido,Preguntas frecuentes detalladas,1,Día 76,Día 76,Ninguna,Media,Tech Writer,Pendiente,FAQ completo,500,
18.3,Documentation,User Docs,Video tutorials,Tutoriales en video de flujos principales,2,Día 77,Día 78,Ninguna,Baja,Tech Writer,Pendiente,3+ videos tutoriales,2000,
19.1,Audit,Smart Contract Audit,Internal review,Code review por equipo,3,Día 79,Día 81,5.4,Crítica,Blockchain Dev,Pendiente,Internal review completado,3000,
19.2,Audit,Smart Contract Audit,Contratar auditor externo,Certik Trail of Bits u otro,1,Día 82,Día 82,19.1,Crítica,Product Manager,Pendiente,Contrato firmado con auditor,5000,
19.3,Audit,Smart Contract Audit,Auditoría externa,Auditoría completa de contratos,20,Día 83,Día 102,19.2,Crítica,Auditor Externo,Pendiente,Audit report recibido,60000,
19.4,Audit,Smart Contract Audit,Remediar vulnerabilidades,Corregir issues encontrados,5,Día 103,Día 107,19.3,Crítica,Blockchain Dev,Pendiente,Vulnerabilidades corregidas,5000,
19.5,Audit,Smart Contract Audit,Re-audit,Verificar correcciones,3,Día 108,Día 110,19.4,Crítica,Auditor Externo,Pendiente,Re-audit aprobado,10000,
20.1,Audit,Bug Bounty,Configurar programa,Crear programa en Immunefi o HackerOne,1,Día 111,Día 111,19.5,Alta,Security,Pendiente,Bug bounty program activo,1000,
20.2,Audit,Bug Bounty,Monitoreo continuo,Revisar submissions y pagar recompensas,Continuo,Día 112,Continuo,20.1,Alta,Security,Pendiente,Programa monitoreado,Variable,Presupuesto mensual para recompensas
21.1,Financial,Projections,Financial projections 5 años,Revenue costs profit por año,2,Día 69,Día 70,Ninguna,Media,Financial Analyst,Pendiente,Projections documentadas,2000,
21.2,Financial,Projections,Break-even analysis,Análisis de punto de equilibrio,1,Día 71,Día 71,21.1,Media,Financial Analyst,Pendiente,Break-even analysis completo,1000,
21.3,Financial,Projections,Risk analysis,Análisis de riesgos financieros,1,Día 72,Día 72,21.1,Media,Financial Analyst,Pendiente,Risk analysis documentado,1000,
21.4,Financial,Projections,Investor deck,Presentación para inversionistas,2,Día 73,Día 74,21.3,Media,Financial Analyst,Pendiente,Investor deck completo,2000,
22.1,Legal,Compliance,Revisar términos con abogado,Validación legal de términos y condiciones,2,Día 75,Día 76,Ninguna,Alta,Legal,Pendiente,Términos aprobados por abogado,3000,
22.2,Legal,Compliance,Obtener licencias,Registros y licencias necesarias,5,Día 77,Día 81,22.1,Alta,Legal,Pendiente,Licencias obtenidas,5000,
22.3,Legal,Compliance,Configurar KYC/AML producción,Credenciales de producción,1,Día 82,Día 82,22.2,Alta,Backend Dev,Pendiente,KYC/AML en producción,500,
22.4,Legal,Compliance,Preparar reportes regulatorios,Templates de reportes,1,Día 83,Día 83,22.2,Media,Legal,Pendiente,Templates de reportes creados,1000,
23.1,Launch,Staging,Deploy a staging,Deployment completo a ambiente staging,1,Día 111,Día 111,19.5,Crítica,DevOps,Pendiente,Staging environment funcionando,1000,
23.2,Launch,Staging,QA en staging,Testing exhaustivo en staging,3,Día 112,Día 114,23.1,Crítica,QA Engineer,Pendiente,QA aprobado,2000,
23.3,Launch,Staging,Load testing,Pruebas de carga y stress,1,Día 115,Día 115,23.2,Alta,DevOps,Pendiente,Load testing completado,1000,
23.4,Launch,Staging,Security scan final,Escaneo de seguridad pre-producción,1,Día 116,Día 116,23.2,Crítica,Security,Pendiente,Security scan aprobado,1000,
24.1,Launch,Production,Preparar producción,Configurar environment production,1,Día 117,Día 117,23.4,Crítica,DevOps,Pendiente,Production environment listo,1000,
24.2,Launch,Production,Deploy a producción,Deployment a producción,1,Día 118,Día 118,24.1,Crítica,DevOps,Pendiente,Producción deployed,2000,
24.3,Launch,Production,Smoke testing,Tests básicos en producción,1,Día 118,Día 118,24.2,Crítica,QA Engineer,Pendiente,Smoke tests pasando,500,
24.4,Launch,Production,Monitoreo activo 24/7,Monitoreo intensivo primeras 48h,2,Día 118,Día 119,24.3,Crítica,DevOps,Pendiente,Sistema estable,1000,
25.1,Launch,Post-Launch,Comunicación de lanzamiento,Anuncio oficial email redes sociales,1,Día 119,Día 119,24.4,Alta,Marketing,Pendiente,Lanzamiento comunicado,500,
25.2,Launch,Post-Launch,Soporte activo,Equipo de soporte disponible,7,Día 119,Día 125,24.4,Alta,Support,Pendiente,Soporte funcionando,3000,
25.3,Launch,Post-Launch,Recopilar feedback,Encuestas y análisis de usuarios,7,Día 119,Día 125,24.4,Media,Product Manager,Pendiente,Feedback recopilado,1000,
25.4,Launch,Post-Launch,Iteración rápida,Correcciones y mejoras basadas en feedback,Continuo,Día 126,Continuo,25.3,Alta,Full Team,Pendiente,Mejoras implementadas,Variable,
